Source Namespace	Source Identifier	Source Name	Relation	Target Namespace	Target Identifier	Target Name
HBP	HBP00001	microtubule-binding region	part_of	HBP	HBP00188	assembly domain
HBP	HBP00002	tubulin-binding repeat 1	part_of	HBP	HBP00001	microtubule-binding region
HBP	HBP00003	tubulin-binding repeat 2	part_of	HBP	HBP00001	microtubule-binding region
HBP	HBP00004	tubulin-binding repeat 3	part_of	HBP	HBP00001	microtubule-binding region
HBP	HBP00005	tubulin-binding repeat 4	part_of	HBP	HBP00001	microtubule-binding region
HBP	HBP00006	Tau aggregates	is_a	HBP	HBP00178	protein aggregates
HBP	HBP00016	alpha-synuclein aggregates	is_a	HBP	HBP00178	protein aggregates
HBP	HBP00017	huntingtin aggregates	is_a	HBP	HBP00178	protein aggregates
HBP	HBP00018	amyloid-beta aggregates	is_a	HBP	HBP00178	protein aggregates
HBP	HBP00046	VQIINK motif	part_of	HBP	HBP00003	tubulin-binding repeat 2
HBP	HBP00047	VQIVYK motif	part_of	HBP	HBP00004	tubulin-binding repeat 3
HBP	HBP00048	ghost tangles	is_a	GO	GO:0097418	neurofibrillary tangle
HBP	HBP00049	pretangles	is_a	GO	GO:0097418	neurofibrillary tangle
HBP	HBP00053	Tau isoform F (441 aa)	is_a	HBP	HBP00045	4R tau
HBP	HBP00055	Tau isoform B (381 aa)	is_a	HBP	HBP00044	3R tau
HBP	HBP00056	Tau isoform D (383 aa)	is_a	HBP	HBP00045	4R tau
HBP	HBP00057	Tau isoform C (410 aa)	is_a	HBP	HBP00044	3R tau
HBP	HBP00058	Tau isoform E (412 aa)	is_a	HBP	HBP00045	4R tau
HBP	HBP00099	Corticobasal Degeneration	is_a	HBP	HBP00233	4R tauopathy
HBP	HBP00100	paired helical filaments	part_of	GO	GO:0097418	neurofibrillary tangle
HBP	HBP00101	straight filaments	part_of	GO	GO:0097418	neurofibrillary tangle
HBP	HBP00186	proline-rich region 1	part_of	HBP	HBP00166	proline-rich domain
HBP	HBP00186	proline-rich region 1	part_of	HBP	HBP00050	projection domain
HBP	HBP00187	proline-rich region 2	part_of	HBP	HBP00166	proline-rich domain
HBP	HBP00187	proline-rich region 2	part_of	HBP	HBP00188	assembly domain
HBP	HBP00250	LDN-193594	is_a	HBP	HBP00276	diaminothiazole
HBP	HBP00251	LDN-193665	is_a	HBP	HBP00277	diaminothiazole
HBP	HBP00252	LDN-213843	is_a	HBP	HBP00278	diaminothiazole
MESH	D000544	Alzheimer Disease	is_a	HBP	HBP00234	4R tauopathy
HBP	HBP00222	Tau antibody, AGG5759	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00223	Tau antibody, Tau-13	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00257	Tau antibody, RG7345	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00262	Tau antibody, AGG5759	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00289	Tau antibody, 6C5	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00290	Tau antibody, HT7	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00294	Tau antibody, 40E8	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00295	Tau antibody, pS396	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00296	Tau antibody, 4E4	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00297	Tau antibody, Tau46	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00301	Tau antibody, TNT1	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00302	Tau antibody, TNT2	is_a	HBP	HBP00307	Tau antibody
HBP	HBP00263	Tau epitope, AD2	is_a	HBP	HBP00307	Tau epitope
HBP	HBP00264	Tau epitope, AP422	is_a	HBP	HBP00307	Tau epitope
HBP	HBP00265	Tau epitope, AT100	is_a	HBP	HBP00307	Tau epitope
HBP	HBP00266	Tau epitope, AT270	is_a	HBP	HBP00307	Tau epitope
HBP	HBP00319	4-OH-GTS-21	metabolite_of	HBP	HBP00310	GTS-21
HBP	HBP00010	LY293002	inhibitor_of	FPLX	PI3K	PI3K
HBP	HBP00321	Tau aggregation inhibitor	decreases	HBP	HBP00006	Tau aggregates
HBP	HBP00019	SEN-1269	has_role	HBP	HBP00321	Tau aggregation inhibitor
HBP	HBP00020	MLS000034832	has_role	HBP	HBP00321	Tau aggregation inhibitor
HBP	HBP00021	caprospinol	has_role	HBP	HBP00321	Tau aggregation inhibitor
HBP	HBP00031	N-AcGIP	agonist_of	HGNC	HGNC:4270	GIP
HBP	HBP00032	Pro3-GIP	agonist_of	HGNC	HGNC:4270	GIP
HBP	HBP00131	exotoxin A	inhibitor_of	HGNC	HGNC:3214	EEF2
HBP	HBP00280	isocarboxazide	has_role	HBP	HBP00321	Tau aggregation inhibitor
HBP	HBP00284	oxazolidinedione	has_role	HBP	HBP00321	Tau aggregation inhibitor
HBP	HBP00285	sudoxicam	has_role	HBP	HBP00321	Tau aggregation inhibitor
HBP	HBP00286	thiohydantoin	has_role	HBP	HBP00321	Tau aggregation inhibitor
HBP	HBP00287	thioxooxazolidine	has_role	HBP	HBP00321	Tau aggregation inhibitor
